InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSale,PreviousTotalSale,PercentageChange
572552,16238,PARTY TIME PENCIL ERASERS,2,10/24/2011 17:07,0.42,14096,United Kingdom,0.84,0.21,300.0
572755,16238,PARTY TIME PENCIL ERASERS,14,10/25/2011 17:31,0.21,13601,United Kingdom,2.94,0.84,250.0
569246,16238,PARTY TIME PENCIL ERASERS,1,10/3/2011 9:57,0.42,14096,United Kingdom,0.42,2.94,-85.71428571428572
573396,16238,PARTY TIME PENCIL ERASERS,3,10/30/2011 15:13,0.21,14723,United Kingdom,0.63,0.42,50.000000000000014
573576,16238,PARTY TIME PENCIL ERASERS,2,10/31/2011 14:09,0.42,14096,United Kingdom,0.84,0.63,33.33333333333333
569653,16238,PARTY TIME PENCIL ERASERS,28,10/5/2011 12:52,0.21,12451,Switzerland,5.88,0.84,600.0
569568,16238,PARTY TIME PENCIL ERASERS,28,10/5/2011 9:57,0.21,12700,France,5.88,5.88,0.0
570210,16238,PARTY TIME PENCIL ERASERS,1,10/9/2011 10:48,0.21,13259,United Kingdom,0.21,5.88,-96.42857142857143
570225,16238,PARTY TIME PENCIL ERASERS,5,10/9/2011 13:15,0.21,16595,United Kingdom,1.05,0.21,400.0000000000001
575908,16238,PARTY TIME PENCIL ERASERS,28,11/11/2011 15:54,0.21,13091,United Kingdom,5.88,1.05,459.99999999999994
576339,16238,PARTY TIME PENCIL ERASERS,2,11/14/2011 15:27,0.42,14096,United Kingdom,0.84,5.88,-85.71428571428572
577228,16238,PARTY TIME PENCIL ERASERS,28,11/18/2011 12:07,0.21,12391,Cyprus,5.88,0.84,600.0
577324,16238,PARTY TIME PENCIL ERASERS,28,11/18/2011 14:01,0.21,16463,United Kingdom,5.88,5.88,0.0
577519,16238,PARTY TIME PENCIL ERASERS,28,11/20/2011 13:20,0.21,15044,United Kingdom,5.88,5.88,0.0
577545,16238,PARTY TIME PENCIL ERASERS,5,11/20/2011 14:43,0.21,16931,United Kingdom,1.05,5.88,-82.14285714285715
578147,16238,PARTY TIME PENCIL ERASERS,1,11/23/2011 11:09,0.21,12748,United Kingdom,0.21,1.05,-80.0
578278,16238,PARTY TIME PENCIL ERASERS,10,11/23/2011 13:51,0.21,12748,United Kingdom,2.1,0.21,900.0000000000002
578941,16238,PARTY TIME PENCIL ERASERS,1,11/27/2011 13:26,0.21,16024,United Kingdom,0.21,2.1,-90.0
578998,16238,PARTY TIME PENCIL ERASERS,2,11/27/2011 16:05,0.21,15436,United Kingdom,0.42,0.21,100.0
579145,16238,PARTY TIME PENCIL ERASERS,1,11/28/2011 13:13,0.21,14597,United Kingdom,0.21,0.42,-50.0
579196,16238,PARTY TIME PENCIL ERASERS,5,11/28/2011 15:54,0.42,14096,United Kingdom,2.1,0.21,900.0000000000002
574470,16238,PARTY TIME PENCIL ERASERS,5,11/4/2011 11:56,0.21,12748,United Kingdom,1.05,2.1,-50.0
574481,16238,PARTY TIME PENCIL ERASERS,10,11/4/2011 12:45,0.21,18022,United Kingdom,2.1,1.05,100.0
574501,16238,PARTY TIME PENCIL ERASERS,5,11/4/2011 13:15,0.21,12577,France,1.05,2.1,-50.0
574965,16238,PARTY TIME PENCIL ERASERS,2,11/8/2011 10:44,0.21,17964,United Kingdom,0.42,1.05,-60.00000000000001
536409,16238,PARTY TIME PENCIL ERASERS,28,12/1/2010 11:45,0.21,17908,United Kingdom,5.88,0.42,1300.0
580048,16238,PARTY TIME PENCIL ERASERS,5,12/1/2011 12:53,0.21,12748,United Kingdom,1.05,5.88,-82.14285714285715
580290,16238,PARTY TIME PENCIL ERASERS,1,12/2/2011 13:35,0.21,17221,United Kingdom,0.21,1.05,-80.0
580360,16238,PARTY TIME PENCIL ERASERS,28,12/2/2011 16:14,0.21,14493,United Kingdom,5.88,0.21,2700.0
536987,16238,PARTY TIME PENCIL ERASERS,1,12/3/2010 14:54,0.21,17198,United Kingdom,0.21,5.88,-96.42857142857143
580502,16238,PARTY TIME PENCIL ERASERS,7,12/4/2011 13:15,0.21,16931,United Kingdom,1.47,0.21,600.0
537065,16238,PARTY TIME PENCIL ERASERS,28,12/5/2010 11:57,0.21,12567,France,5.88,1.47,300.0
580678,16238,PARTY TIME PENCIL ERASERS,1,12/5/2011 14:49,0.21,18015,United Kingdom,0.21,5.88,-96.42857142857143
580727,16238,PARTY TIME PENCIL ERASERS,10,12/5/2011 17:17,0.42,14096,United Kingdom,4.2,0.21,1900.0
581310,16238,PARTY TIME PENCIL ERASERS,1,12/8/2011 11:43,0.21,16442,United Kingdom,0.21,4.2,-95.0
544412,16238,PARTY TIME PENCIL ERASERS,28,2/18/2011 14:21,0.21,16531,United Kingdom,5.88,0.21,2700.0
543040,16238,PARTY TIME PENCIL ERASERS,4,2/2/2011 17:06,0.21,17337,United Kingdom,0.84,5.88,-85.71428571428572
546850,16238,PARTY TIME PENCIL ERASERS,28,3/17/2011 13:20,0.21,13268,United Kingdom,5.88,0.84,600.0
546913,16238,PARTY TIME PENCIL ERASERS,28,3/17/2011 20:18,0.21,15861,United Kingdom,5.88,5.88,0.0
547383,16238,PARTY TIME PENCIL ERASERS,28,3/22/2011 15:42,0.21,12613,Germany,5.88,5.88,0.0
548309,16238,PARTY TIME PENCIL ERASERS,1,3/30/2011 12:02,0.21,16657,United Kingdom,0.21,5.88,-96.42857142857143
545872,16238,PARTY TIME PENCIL ERASERS,5,3/7/2011 14:51,0.21,15752,United Kingdom,1.05,0.21,400.0000000000001
549577,16238,PARTY TIME PENCIL ERASERS,28,4/11/2011 8:16,0.21,14286,United Kingdom,5.88,1.05,459.99999999999994
549847,16238,PARTY TIME PENCIL ERASERS,28,4/12/2011 14:43,0.21,15358,United Kingdom,5.88,5.88,0.0
550298,16238,PARTY TIME PENCIL ERASERS,1,4/15/2011 16:11,0.21,17346,United Kingdom,0.21,5.88,-96.42857142857143
551056,16238,PARTY TIME PENCIL ERASERS,28,4/26/2011 11:51,0.21,16442,United Kingdom,5.88,0.21,2700.0
551426,16238,PARTY TIME PENCIL ERASERS,28,4/28/2011 14:39,0.21,14022,United Kingdom,5.88,5.88,0.0
548796,16238,PARTY TIME PENCIL ERASERS,28,4/4/2011 12:42,0.21,15752,United Kingdom,5.88,5.88,0.0
548728,16238,PARTY TIME PENCIL ERASERS,28,4/4/2011 9:55,0.21,13198,United Kingdom,5.88,5.88,0.0
552854,16238,PARTY TIME PENCIL ERASERS,28,5/11/2011 15:16,0.21,14748,United Kingdom,5.88,5.88,0.0
552874,16238,PARTY TIME PENCIL ERASERS,28,5/12/2011 9:40,0.21,12621,Germany,5.88,5.88,0.0
553488,16238,PARTY TIME PENCIL ERASERS,3,5/17/2011 12:40,0.21,18043,United Kingdom,0.63,5.88,-89.28571428571429
554650,16238,PARTY TIME PENCIL ERASERS,28,5/25/2011 12:54,0.21,12681,France,5.88,0.63,833.3333333333334
552418,16238,PARTY TIME PENCIL ERASERS,28,5/9/2011 12:42,0.21,13971,United Kingdom,5.88,5.88,0.0
557149,16238,PARTY TIME PENCIL ERASERS,3,6/17/2011 11:01,0.21,17961,United Kingdom,0.63,5.88,-89.28571428571429
558049,16238,PARTY TIME PENCIL ERASERS,6,6/24/2011 14:16,0.21,15850,United Kingdom,1.26,0.63,100.0
559993,16238,PARTY TIME PENCIL ERASERS,18,7/14/2011 12:42,0.21,14716,United Kingdom,3.78,1.26,199.99999999999994
560841,16238,PARTY TIME PENCIL ERASERS,112,7/21/2011 12:25,0.16,14298,United Kingdom,17.92,3.78,374.07407407407413
560861,16238,PARTY TIME PENCIL ERASERS,1,7/21/2011 13:37,0.21,17660,United Kingdom,0.21,17.92,-98.828125
561625,16238,PARTY TIME PENCIL ERASERS,28,7/28/2011 14:03,0.21,16843,United Kingdom,5.88,0.21,2700.0
561896,16238,PARTY TIME PENCIL ERASERS,28,7/31/2011 15:22,0.21,15819,United Kingdom,5.88,5.88,0.0
559318,16238,PARTY TIME PENCIL ERASERS,10,7/7/2011 14:08,0.21,18013,United Kingdom,2.1,5.88,-64.28571428571428
563012,16238,PARTY TIME PENCIL ERASERS,3,8/11/2011 12:00,0.21,17284,United Kingdom,0.63,2.1,-70.0
563037,16238,PARTY TIME PENCIL ERASERS,28,8/11/2011 15:02,0.21,12362,Belgium,5.88,0.63,833.3333333333334
563522,16238,PARTY TIME PENCIL ERASERS,28,8/17/2011 10:59,0.21,17975,United Kingdom,5.88,5.88,0.0
564337,16238,PARTY TIME PENCIL ERASERS,28,8/24/2011 14:40,0.21,12649,Germany,5.88,5.88,0.0
564503,16238,PARTY TIME PENCIL ERASERS,28,8/25/2011 14:23,0.21,13971,United Kingdom,5.88,5.88,0.0
562422,16238,PARTY TIME PENCIL ERASERS,28,8/4/2011 16:59,0.21,13218,United Kingdom,5.88,5.88,0.0
567297,16238,PARTY TIME PENCIL ERASERS,28,9/19/2011 12:27,0.21,15594,United Kingdom,5.88,5.88,0.0
567656,16238,PARTY TIME PENCIL ERASERS,1,9/21/2011 14:40,0.42,14096,United Kingdom,0.42,5.88,-92.85714285714286
568346,16238,PARTY TIME PENCIL ERASERS,2,9/26/2011 15:28,0.42,14096,United Kingdom,0.84,0.42,100.0
568381,16238,PARTY TIME PENCIL ERASERS,28,9/27/2011 9:24,0.21,14321,United Kingdom,5.88,0.84,600.0
568833,16238,PARTY TIME PENCIL ERASERS,28,9/29/2011 11:39,0.21,17348,United Kingdom,5.88,5.88,0.0
571054,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,10/13/2011 13:58,0.85,14234,United Kingdom,0.85,,
571286,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,4,10/16/2011 14:35,0.85,14547,United Kingdom,3.4,0.85,300.0
571909,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,10/19/2011 15:08,0.85,15006,United Kingdom,0.85,3.4,-75.0
569236,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,6,10/2/2011 15:49,0.85,14432,United Kingdom,5.1,0.85,500.0
572309,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,5,10/23/2011 15:29,0.85,14432,United Kingdom,4.25,5.1,-16.66666666666666
573388,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,10/30/2011 14:44,0.85,14895,United Kingdom,20.4,4.25,380.0
573501,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,4,10/31/2011 12:02,0.85,18055,United Kingdom,3.4,20.4,-83.33333333333334
573874,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,11/1/2011 12:45,0.85,13868,United Kingdom,20.4,3.4,500.0
573897,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,11/1/2011 14:29,0.85,16729,United Kingdom,1.7,20.4,-91.66666666666667
575941,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,3,11/13/2011 11:39,0.85,16438,United Kingdom,2.55,1.7,49.99999999999999
575959,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,11/13/2011 12:27,0.85,14547,United Kingdom,20.4,2.55,700.0
576078,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,12,11/13/2011 16:22,0.85,14432,United Kingdom,10.2,20.4,-50.0
577051,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,11/17/2011 14:02,0.85,14034,United Kingdom,0.85,10.2,-91.66666666666667
577532,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,3,11/20/2011 14:01,0.85,16666,United Kingdom,2.55,0.85,199.99999999999997
577539,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,11/20/2011 14:24,0.85,14547,United Kingdom,20.4,2.55,700.0
578357,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,18,11/24/2011 10:24,0.85,17228,United Kingdom,15.299999999999999,20.4,-25.0
578531,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,11/24/2011 14:40,0.85,17364,United Kingdom,0.85,15.299999999999999,-94.44444444444444
578954,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,3,11/27/2011 15:02,0.85,15054,United Kingdom,2.55,0.85,199.99999999999997
575117,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,11/8/2011 14:22,0.85,12748,United Kingdom,0.85,2.55,-66.66666666666666
574943,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,11/8/2011 7:52,0.85,13026,United Kingdom,20.4,0.85,2299.9999999999995
575481,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,4,11/9/2011 16:28,0.85,15679,United Kingdom,3.4,20.4,-83.33333333333334
580111,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,12/1/2011 15:55,0.85,12950,United Kingdom,20.4,3.4,500.0
538255,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,12,12/10/2010 12:33,2.55,14911,EIRE,30.599999999999998,20.4,50.0
539041,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,12/15/2010 15:34,0.5,15456,United Kingdom,12.0,30.599999999999998,-60.78431372549019
539294,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,12/16/2010 16:45,2.55,15532,United Kingdom,2.55,12.0,-78.75
580304,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,5,12/2/2011 14:25,0.85,18055,United Kingdom,4.25,2.55,66.66666666666667
580393,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,12/4/2011 10:51,0.85,16438,United Kingdom,1.7,4.25,-60.0
580468,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,12/4/2011 12:31,0.85,12748,United Kingdom,0.85,1.7,-50.0
580639,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,12/5/2011 12:46,0.85,17254,United Kingdom,0.85,0.85,0.0
581378,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,6,12/8/2011 12:50,0.85,17673,United Kingdom,5.1,0.85,500.0
581467,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,12/8/2011 19:24,0.85,13077,United Kingdom,1.7,5.1,-66.66666666666666
544778,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2/23/2011 12:03,2.55,14978,United Kingdom,2.55,1.7,49.99999999999999
547871,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,3/27/2011 14:28,2.55,16931,United Kingdom,5.1,2.55,100.0
558096,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,6/26/2011 13:24,0.85,15532,United Kingdom,0.85,5.1,-83.33333333333334
560228,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,10,7/15/2011 17:29,0.85,17750,United Kingdom,8.5,0.85,900.0
561330,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,7/26/2011 14:03,0.85,16019,United Kingdom,20.4,8.5,140.0
561885,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,7/31/2011 13:13,0.85,15532,United Kingdom,0.85,20.4,-95.83333333333333
564429,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,8/25/2011 11:31,0.85,16638,United Kingdom,20.4,0.85,2299.9999999999995
564719,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,8/28/2011 11:55,0.85,15325,United Kingdom,0.85,20.4,-95.83333333333333
566564,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,6,9/13/2011 12:26,0.85,15522,United Kingdom,5.1,0.85,500.0
566591,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,4,9/13/2011 14:53,0.85,16036,United Kingdom,3.4,5.1,-33.33333333333333
566169,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,9/9/2011 12:09,0.85,14414,United Kingdom,20.4,3.4,500.0
541280,17013D,ORIGAMI ROSE INCENSE IN TUBE,12,1/17/2011 11:57,1.65,15296,United Kingdom,19.799999999999997,,
542058,17013D,ORIGAMI ROSE INCENSE IN TUBE,96,1/25/2011 11:59,0.42,15601,United Kingdom,40.32,19.799999999999997,103.63636363636365
538890,17013D,ORIGAMI ROSE INCENSE IN TUBE,3,12/14/2010 16:39,1.65,12867,United Kingdom,4.949999999999999,40.32,-87.7232142857143
539978,17013D,ORIGAMI ROSE INCENSE IN TUBE,96,12/23/2010 14:06,0.42,13165,United Kingdom,40.32,4.949999999999999,714.5454545454547
542776,17013D,ORIGAMI ROSE INCENSE IN TUBE,96,2/1/2011 8:23,0.42,15240,United Kingdom,40.32,40.32,0.0
547826,17013D,ORIGAMI ROSE INCENSE IN TUBE,1,3/25/2011 15:08,1.65,18078,United Kingdom,1.65,40.32,-95.9077380952381
545915,17013D,ORIGAMI ROSE INCENSE IN TUBE,12,3/8/2011 11:44,1.65,17419,United Kingdom,19.799999999999997,1.65,1100.0
550630,17013D,ORIGAMI ROSE INCENSE IN TUBE,96,4/19/2011 14:49,0.42,14298,United Kingdom,40.32,19.799999999999997,103.63636363636365
550906,17013D,ORIGAMI ROSE INCENSE IN TUBE,96,4/21/2011 12:34,0.42,14298,United Kingdom,40.32,40.32,0.0
552950,17013D,ORIGAMI ROSE INCENSE IN TUBE,12,5/12/2011 12:01,0.42,16116,United Kingdom,5.04,40.32,-87.5
555741,17013D,ORIGAMI ROSE INCENSE IN TUBE,12,6/7/2011 10:05,0.42,16817,United Kingdom,5.04,5.04,0.0
540364,17091A,LAVENDER INCENSE IN TIN,1,1/6/2011 16:03,1.25,14505,United Kingdom,1.25,,
540498,17091A,LAVENDER INCENSE IN TIN,6,1/9/2011 10:06,1.25,17243,United Kingdom,7.5,1.25,500.0
536401,17091A,LAVENDER INCENSE IN TIN,1,12/1/2010 11:21,1.25,15862,United Kingdom,1.25,7.5,-83.33333333333334
538248,17091A,LAVENDER INCENSE IN TIN,2,12/10/2010 12:14,1.25,18116,United Kingdom,2.5,1.25,100.0
538312,17091A,LAVENDER INCENSE IN TIN,2,12/10/2010 13:48,1.25,16727,United Kingdom,2.5,2.5,0.0
538365,17091A,LAVENDER INCENSE IN TIN,6,12/12/2010 10:11,1.25,17243,United Kingdom,7.5,2.5,200.0
538497,17091A,LAVENDER INCENSE IN TIN,1,12/12/2010 12:44,1.25,14684,United Kingdom,1.25,7.5,-83.33333333333334
538662,17091A,LAVENDER INCENSE IN TIN,36,12/13/2010 15:44,0.38,15159,United Kingdom,13.68,1.25,994.3999999999999
537859,17091A,LAVENDER INCENSE IN TIN,6,12/8/2010 16:11,1.25,14030,United Kingdom,7.5,13.68,-45.175438596491226
544465,17091A,LAVENDER INCENSE IN TIN,3,2/20/2011 15:06,1.25,13168,United Kingdom,3.75,7.5,-50.0
547556,17091A,LAVENDER INCENSE IN TIN,6,3/23/2011 16:45,1.25,17250,United Kingdom,7.5,3.75,100.0
547662,17091A,LAVENDER INCENSE IN TIN,3,3/24/2011 13:12,1.25,14085,United Kingdom,3.75,7.5,-50.0
546121,17091A,LAVENDER INCENSE IN TIN,2,3/9/2011 14:30,1.25,14085,United Kingdom,2.5,3.75,-33.33333333333333
550352,17091A,LAVENDER INCENSE IN TIN,4,4/18/2011 10:21,0.38,16719,United Kingdom,1.52,2.5,-39.2
550459,17091A,LAVENDER INCENSE IN TIN,2,4/18/2011 13:17,0.38,18116,United Kingdom,0.76,1.52,-50.0
550513,17091A,LAVENDER INCENSE IN TIN,6,4/18/2011 16:37,0.38,16928,United Kingdom,2.2800000000000002,0.76,200.00000000000006
550621,17091A,LAVENDER INCENSE IN TIN,12,4/19/2011 13:41,0.38,13263,United Kingdom,4.5600000000000005,2.2800000000000002,100.0
551270,17091A,LAVENDER INCENSE IN TIN,2,4/27/2011 12:35,0.38,15891,United Kingdom,0.76,4.5600000000000005,-83.33333333333334
552624,17091A,LAVENDER INCENSE IN TIN,3,5/10/2011 12:53,0.38,14505,United Kingdom,1.1400000000000001,0.76,50.000000000000014
552950,17091A,LAVENDER INCENSE IN TIN,6,5/12/2011 12:01,0.38,16116,United Kingdom,2.2800000000000002,1.1400000000000001,100.0
553168,17091A,LAVENDER INCENSE IN TIN,24,5/13/2011 16:24,0.38,15159,United Kingdom,9.120000000000001,2.2800000000000002,300.0
553660,17091A,LAVENDER INCENSE IN TIN,6,5/18/2011 11:58,0.38,14620,United Kingdom,2.2800000000000002,9.120000000000001,-75.0
551957,17091A,LAVENDER INCENSE IN TIN,6,5/5/2011 12:24,0.38,16949,United Kingdom,2.2800000000000002,2.2800000000000002,0.0
551998,17091A,LAVENDER INCENSE IN TIN,24,5/5/2011 15:48,0.38,14099,United Kingdom,9.120000000000001,2.2800000000000002,300.0
552285,17091A,LAVENDER INCENSE IN TIN,1,5/8/2011 12:58,0.38,14684,United Kingdom,0.38,9.120000000000001,-95.83333333333333
570333,17136A,BLUE STONES ON WIRE FOR CANDLE,5,10/10/2011 12:19,0.08,18126,United Kingdom,0.4,,
571046,17136A,BLUE STONES ON WIRE FOR CANDLE,4,10/13/2011 13:35,0.08,18096,United Kingdom,0.32,0.4,-20.000000000000004
574317,17136A,BLUE STONES ON WIRE FOR CANDLE,96,11/3/2011 18:49,0.08,17078,United Kingdom,7.68,0.32,2299.9999999999995
542890,17136A,BLUE STONES ON WIRE FOR CANDLE,4,2/1/2011 13:25,0.21,15311,United Kingdom,0.84,7.68,-89.0625
543740,17136A,BLUE STONES ON WIRE FOR CANDLE,2,2/11/2011 13:36,0.21,15311,United Kingdom,0.42,0.84,-50.0
545905,17136A,BLUE STONES ON WIRE FOR CANDLE,24,3/8/2011 8:53,0.08,15234,United Kingdom,1.92,0.42,357.14285714285717
549279,17136A,BLUE STONES ON WIRE FOR CANDLE,5,4/7/2011 13:16,0.21,16469,United Kingdom,1.05,1.92,-45.31249999999999
553747,17136A,BLUE STONES ON WIRE FOR CANDLE,24,5/19/2011 9:47,0.08,13627,United Kingdom,1.92,1.05,82.85714285714285
552062,17136A,BLUE STONES ON WIRE FOR CANDLE,24,5/6/2011 10:45,0.08,13117,United Kingdom,1.92,1.92,0.0
555872,17136A,BLUE STONES ON WIRE FOR CANDLE,24,6/7/2011 15:04,0.08,13395,United Kingdom,1.92,1.92,0.0
555947,17136A,BLUE STONES ON WIRE FOR CANDLE,24,6/8/2011 10:45,0.08,14911,EIRE,1.92,1.92,0.0
559466,17136A,BLUE STONES ON WIRE FOR CANDLE,24,7/8/2011 13:31,0.08,15679,United Kingdom,1.92,1.92,0.0
564718,17136A,BLUE STONES ON WIRE FOR CANDLE,6,8/28/2011 11:25,0.08,13301,United Kingdom,0.48,1.92,-75.0
566279,17136A,BLUE STONES ON WIRE FOR CANDLE,24,9/11/2011 14:09,0.08,14432,United Kingdom,1.92,0.48,300.0
566303,17136A,BLUE STONES ON WIRE FOR CANDLE,24,9/12/2011 8:24,0.08,12997,United Kingdom,1.92,1.92,0.0
567663,17136A,BLUE STONES ON WIRE FOR CANDLE,24,9/21/2011 15:15,0.08,14951,United Kingdom,1.92,1.92,0.0
568168,17136A,BLUE STONES ON WIRE FOR CANDLE,14,9/25/2011 12:46,0.08,15799,United Kingdom,1.12,1.92,-41.66666666666666
540943,20668,DISCO BALL CHRISTMAS DECORATION,24,1/12/2011 12:31,0.12,17841,United Kingdom,2.88,,
541253,20668,DISCO BALL CHRISTMAS DECORATION,24,1/16/2011 13:51,0.12,17841,United Kingdom,2.88,2.88,0.0
540021,20668,DISCO BALL CHRISTMAS DECORATION,24,1/4/2011 12:51,0.12,17841,United Kingdom,2.88,2.88,0.0
570404,20668,DISCO BALL CHRISTMAS DECORATION,12,10/10/2011 12:50,0.12,16395,United Kingdom,1.44,2.88,-50.0
570420,20668,DISCO BALL CHRISTMAS DECORATION,96,10/10/2011 13:33,0.12,17841,United Kingdom,11.52,1.44,700.0
570420,20668,DISCO BALL CHRISTMAS DECORATION,24,10/10/2011 13:33,0.12,17841,United Kingdom,2.88,11.52,-75.00000000000001
570430,20668,DISCO BALL CHRISTMAS DECORATION,72,10/10/2011 14:25,0.12,15886,United Kingdom,8.64,2.88,200.00000000000006
570791,20668,DISCO BALL CHRISTMAS DECORATION,24,10/12/2011 11:58,0.12,17346,United Kingdom,2.88,8.64,-66.66666666666667
570818,20668,DISCO BALL CHRISTMAS DECORATION,48,10/12/2011 12:47,0.12,17841,United Kingdom,5.76,2.88,100.0
570826,20668,DISCO BALL CHRISTMAS DECORATION,24,10/12/2011 13:14,0.12,16753,United Kingdom,2.88,5.76,-50.0
571189,20668,DISCO BALL CHRISTMAS DECORATION,24,10/14/2011 11:42,0.12,13213,United Kingdom,2.88,2.88,0.0
